route,balancing,dataset,scaler,model,TP,TN,FP,FN,P,N,Total,Error,Exactitud,TP_Rate,FP_Rate,Precision,Recall,Sensibilidad,Especificidad,F1_Score,Accuracy_sklearn,cv_best_score
nofs,csbboost,derby-10.5.1.1,robust,naive_bayes_gaussian,2,459,5,75,77,464,541,0.1478743068391867,0.8521256931608133,0.025974025974025976,0.010775862068965518,0.2857142857142857,0.025974025974025976,0.025974025974025976,0.9892241379310345,0.047619047619047616,0.8521256931608133,0.022196738022426093
nofs,csbboost,derby-10.5.1.1,robust,svm,53,313,151,24,77,464,541,0.3234750462107209,0.6765249537892791,0.6883116883116883,0.3254310344827586,0.25980392156862747,0.6883116883116883,0.6883116883116883,0.6745689655172413,0.37722419928825623,0.6765249537892791,0.9824243968739381
fs,csbboost,derby-10.5.1.1,standard,decision_tree,37,377,87,40,77,464,541,0.23475046210720887,0.7652495378927912,0.4805194805194805,0.1875,0.29838709677419356,0.4805194805194805,0.4805194805194805,0.8125,0.3681592039800995,0.7652495378927912,0.8484794427454979
fs,csbboost,derby-10.5.1.1,standard,naive_bayes_gaussian,30,429,35,47,77,464,541,0.15157116451016636,0.8484288354898336,0.38961038961038963,0.07543103448275862,0.46153846153846156,0.38961038961038963,0.38961038961038963,0.9245689655172413,0.4225352112676056,0.8484288354898336,0.3844971117906898
fs,csbboost,derby-10.5.1.1,standard,svm,43,356,108,34,77,464,541,0.26247689463955637,0.7375231053604436,0.5584415584415584,0.23275862068965517,0.2847682119205298,0.5584415584415584,0.5584415584415584,0.7672413793103449,0.37719298245614036,0.7375231053604436,0.9380818892286783
nofs,csbboost,derby-10.5.1.1,standard,decision_tree,42,382,82,35,77,464,541,0.21626617375231053,0.7837338262476895,0.5454545454545454,0.17672413793103448,0.3387096774193548,0.5454545454545454,0.5454545454545454,0.8232758620689655,0.417910447761194,0.7837338262476895,0.8512317363234795
nofs,csbboost,derby-10.5.1.1,standard,naive_bayes_gaussian,34,425,39,43,77,464,541,0.15157116451016636,0.8484288354898336,0.44155844155844154,0.08405172413793104,0.4657534246575342,0.44155844155844154,0.44155844155844154,0.915948275862069,0.4533333333333333,0.8484288354898336,0.4187308868501529
nofs,csbboost,derby-10.5.1.1,standard,svm,25,400,64,52,77,464,541,0.2144177449168207,0.7855822550831792,0.3246753246753247,0.13793103448275862,0.2808988764044944,0.3246753246753247,0.3246753246753247,0.8620689655172413,0.30120481927710846,0.7855822550831792,0.9325008494733265
fs,hcbou,derby-10.5.1.1,robust,decision_tree,41,353,111,36,77,464,541,0.27171903881700554,0.7282809611829945,0.5324675324675324,0.23922413793103448,0.26973684210526316,0.5324675324675324,0.5324675324675324,0.7607758620689655,0.35807860262008734,0.7282809611829945,0.8401715936119606
fs,hcbou,derby-10.5.1.1,robust,naive_bayes_gaussian,2,461,3,75,77,464,541,0.14417744916820702,0.8558225508317929,0.025974025974025976,0.00646551724137931,0.4,0.025974025974025976,0.025974025974025976,0.9935344827586207,0.04878048780487805,0.8558225508317929,0.013863404689092761
fs,hcbou,derby-10.5.1.1,robust,svm,52,305,159,25,77,464,541,0.34011090573012936,0.6598890942698706,0.6753246753246753,0.3426724137931034,0.24644549763033174,0.6753246753246753,0.6753246753246753,0.6573275862068966,0.3611111111111111,0.6598890942698706,0.9417431192660551
nofs,hcbou,derby-10.5.1.1,robust,decision_tree,43,344,120,34,77,464,541,0.2846580406654344,0.7153419593345656,0.5584415584415584,0.25862068965517243,0.26380368098159507,0.5584415584415584,0.5584415584415584,0.7413793103448276,0.35833333333333334,0.7153419593345656,0.8419045191980972
nofs,hcbou,derby-10.5.1.1,robust,naive_bayes_gaussian,3,460,4,74,77,464,541,0.14417744916820702,0.8558225508317929,0.03896103896103896,0.008620689655172414,0.42857142857142855,0.03896103896103896,0.03896103896103896,0.9913793103448276,0.07142857142857142,0.8558225508317929,0.020336391437308872
nofs,hcbou,derby-10.5.1.1,robust,svm,75,133,331,2,77,464,541,0.6155268022181146,0.3844731977818854,0.974025974025974,0.7133620689655172,0.18472906403940886,0.974025974025974,0.974025974025974,0.28663793103448276,0.3105590062111801,0.3844731977818854,0.9787716615698268
fs,hcbou,derby-10.5.1.1,standard,decision_tree,47,361,103,30,77,464,541,0.24584103512014788,0.7541589648798521,0.6103896103896104,0.22198275862068967,0.31333333333333335,0.6103896103896104,0.6103896103896104,0.7780172413793104,0.41409691629955947,0.7541589648798521,0.8410975195378866
fs,hcbou,derby-10.5.1.1,standard,naive_bayes_gaussian,24,432,32,53,77,464,541,0.15711645101663585,0.8428835489833642,0.3116883116883117,0.06896551724137931,0.42857142857142855,0.3116883116883117,0.3116883116883117,0.9310344827586207,0.3609022556390977,0.8428835489833642,0.36043153244988113
fs,hcbou,derby-10.5.1.1,standard,svm,71,160,304,6,77,464,541,0.5730129390018485,0.4269870609981516,0.922077922077922,0.6551724137931034,0.18933333333333333,0.922077922077922,0.922077922077922,0.3448275862068966,0.3141592920353982,0.4269870609981516,0.8892456676860346
nofs,hcbou,derby-10.5.1.1,standard,decision_tree,45,349,115,32,77,464,541,0.27171903881700554,0.7282809611829945,0.5844155844155844,0.2478448275862069,0.28125,0.5844155844155844,0.5844155844155844,0.7521551724137931,0.379746835443038,0.7282809611829945,0.8428219503907577
nofs,hcbou,derby-10.5.1.1,standard,naive_bayes_gaussian,35,422,42,42,77,464,541,0.15526802218114602,0.844731977818854,0.45454545454545453,0.09051724137931035,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.9094827586206896,0.45454545454545453,0.844731977818854,0.46297995242949364
nofs,hcbou,derby-10.5.1.1,standard,svm,72,232,232,5,77,464,541,0.43807763401109057,0.5619223659889094,0.935064935064935,0.5,0.23684210526315788,0.935064935064935,0.935064935064935,0.5,0.3779527559055118,0.5619223659889094,0.9584182806659871
fs,smote,derby-10.5.1.1,robust,decision_tree,43,372,92,34,77,464,541,0.23290203327171904,0.767097966728281,0.5584415584415584,0.19827586206896552,0.31851851851851853,0.5584415584415584,0.5584415584415584,0.8017241379310345,0.4056603773584906,0.767097966728281,0.8558273870200475
fs,smote,derby-10.5.1.1,robust,naive_bayes_gaussian,2,461,3,75,77,464,541,0.14417744916820702,0.8558225508317929,0.025974025974025976,0.00646551724137931,0.4,0.025974025974025976,0.025974025974025976,0.9935344827586207,0.04878048780487805,0.8558225508317929,0.013871899422358136
fs,smote,derby-10.5.1.1,robust,svm,56,325,139,21,77,464,541,0.2957486136783734,0.7042513863216266,0.7272727272727273,0.2995689655172414,0.28717948717948716,0.7272727272727273,0.7272727272727273,0.7004310344827587,0.4117647058823529,0.7042513863216266,0.9537971457696228
nofs,smote,derby-10.5.1.1,robust,decision_tree,42,383,81,35,77,464,541,0.2144177449168207,0.7855822550831792,0.5454545454545454,0.17456896551724138,0.34146341463414637,0.5454545454545454,0.5454545454545454,0.8254310344827587,0.42,0.7855822550831792,0.8641522256201155
nofs,smote,derby-10.5.1.1,robust,naive_bayes_gaussian,4,457,7,73,77,464,541,0.1478743068391867,0.8521256931608133,0.05194805194805195,0.015086206896551725,0.36363636363636365,0.05194805194805195,0.05194805194805195,0.9849137931034483,0.09090909090909091,0.8521256931608133,0.03143900781515461
nofs,smote,derby-10.5.1.1,robust,svm,57,304,160,20,77,464,541,0.33271719038817005,0.66728280961183,0.7402597402597403,0.3448275862068966,0.2626728110599078,0.7402597402597403,0.7402597402597403,0.6551724137931034,0.3877551020408163,0.66728280961183,0.9519028202514439
fs,smote,derby-10.5.1.1,standard,decision_tree,46,344,120,31,77,464,541,0.27911275415896486,0.7208872458410351,0.5974025974025974,0.25862068965517243,0.27710843373493976,0.5974025974025974,0.5974025974025974,0.7413793103448276,0.3786008230452675,0.7208872458410351,0.8512147468569488
